Année,Chaîne,Part d'audience
1999,France 5,"1,9"
2000,France 5,"1,8"
2001,France 5,"1,9"
2002,France 5,"2,3"
2003,France 5,"2,9"
2004,France 5,"3,0"
2005,France 5,"3,1"
2006,France 5,"3,1"
2007,France 5,"3,3"
2008,France 5,"3,0"
2009,France 5,"3,1"
2010,France 5,"3,2"
2011,France 5,"3,3"
2012,France 5,"3,5"
2013,France 5,"3,3"
2014,France 5,"3,2"
2015,France 5,"3,4"
2016,France 5,"3,4"
2017,France 5,"3,6"
2018,France 5,"3,5"
2019,France 5,"3,6"
2020,France 5,"3,5"
2021,France 5,"3,3"
2022,France 5,"3,6"
2023,France 5,"3,5"
2024,France 5,"3,5"
1989,M6 ,"6,4"
1990,M6 ,"7,3"
1991,M6 ,"8,0"
1992,M6 ,"10,2"
1993,M6 ,"11,2"
1994,M6 ,"11,4"
1995,M6 ,"11,5"
1996,M6 ,"11,9"
1997,M6 ,"12,7"
1998,M6 ,"12,9"
1999,M6 ,"13,6"
2000,M6 ,"12,7"
2001,M6 ,"13,5"
2002,M6 ,"13,2"
2003,M6 ,"12,6"
2004,M6 ,"12,5"
2005,M6 ,"12,6"
2006,M6 ,"12,5"
2007,M6 ,"11,5"
2008,M6 ,"11,0"
2009,M6 ,"10,8"
2010,M6 ,"10,4"
2011,M6 ,"10,8"
2012,M6 ,"11,2"
2013,M6 ,"10,6"
2014,M6 ,"10,1"
2015,M6 ,"9,9"
2016,M6 ,"10,2"
2017,M6 ,"9,5"
2018,M6 ,"9,1"
2019,M6 ,"8,9"
2020,M6 ,"9,0"
2021,M6 ,"9,1"
2022,M6 ,"8,4"
2023,M6 ,"8,1"
2024,M6 ,"7,8"
1989,Arte,
1990,Arte,
1991,Arte,
1992,Arte,
1993,Arte,"0,9"
1994,Arte,"1,0"
1995,Arte,"1,2"
1996,Arte,"1,4"
1997,Arte,"1,5"
1998,Arte,"1,6"
1999,Arte,"1,7"
2000,Arte,"1,6"
2001,Arte,"1,6"
2002,Arte,"1,6"
2003,Arte,"1,8"
2004,Arte,"2,0"
2005,Arte,"1,8"
2006,Arte,"1,6"
2007,Arte,"1,8"
2008,Arte,"1,7"
2009,Arte,"1,7"
2010,Arte,"1,6"
2011,Arte,"1,5"
2012,Arte,"1,8"
2013,Arte,"2,0"
2014,Arte,"2,0"
2015,Arte,"2,2"
2016,Arte,"2,3"
2017,Arte,"2,2"
2018,Arte,"2,4"
2019,Arte,"2,6"
2020,Arte,"2,9"
2021,Arte,"2,9"
2022,Arte,"2,9"
2023,Arte,"2,9"
2024,Arte,"3,0"
1989,C8,
1990,C8,
1991,C8,
1992,C8,
1993,C8,
1994,C8,
1995,C8,
1996,C8,
1997,C8,
1998,C8,
1999,C8,
2000,C8,
2001,C8,
2002,C8,
2003,C8,
2004,C8,
2005,C8,
2006,C8,
2007,C8,"0,2"
2008,C8,"0,7"
2009,C8,"1,4"
2010,C8,"2,0"
2011,C8,"2,3"
2012,C8,"2,3"
2013,C8,"3,2"
2014,C8,"3,3"
2015,C8,"3,4"
2016,C8,"3,4"
2017,C8,"3,3"
2018,C8,"3,0"
2019,C8,"2,9"
2020,C8,"2,6"
2021,C8,"2,6"
2022,C8,"2,8"
2023,C8,"3,1"
2024,C8,"3,0"
1989,W9,
1990,W9,
1991,W9,
1992,W9,
1993,W9,
1994,W9,
1995,W9,
1996,W9,
1997,W9,
1998,W9,
1999,W9,
2000,W9,
2001,W9,
2002,W9,
2003,W9,
2004,W9,
2005,W9,
2006,W9,
2007,W9,"0,9"
2008,W9,"1,8"
2009,W9,"2,5"
2010,W9,"3,0"
2011,W9,"3,4"
2012,W9,"3,2"
2013,W9,"2,9"
2014,W9,"2,6"
2015,W9,"2,6"
2016,W9,"2,5"
2017,W9,"2,6"
2018,W9,"2,6"
2019,W9,"2,5"
2020,W9,"2,6"
2021,W9,"2,5"
2022,W9,"2,3"
2023,W9,"2,3"
2024,W9,"2,2"
1989,TMC,
1990,TMC,
1991,TMC,
1992,TMC,
1993,TMC,
1994,TMC,
1995,TMC,
1996,TMC,
1997,TMC,
1998,TMC,
1999,TMC,
2000,TMC,
2001,TMC,
2002,TMC,
2003,TMC,
2004,TMC,
2005,TMC,
2006,TMC,
2007,TMC,"1,2"
2008,TMC,"2,1"
2009,TMC,"2,6"
